uid,timeslot,stop,duration
0,0,irf,3600
0,3600,irf,3600
0,7200,irf,3600
0,10800,irf,3600
0,14400,irf,3600
0,18000,irf,3600
0,21600,irf,3600
0,25200,irf,0
0,28800,sdh,1800
0,28800,cmc,900
0,32400,dbt,2100
0,36000,dbt,900
0,39600,dnc,1200
0,39600,str,1200
0,39600,dbt,1200
0,43200,dbt,0
0,46800,NULL,NULL
0,50400,hhh,2700
0,54000,hhh,1800
0,57600,NULL,NULL
0,61200,NULL,NULL
0,64800,NULL,NULL
0,68400,NULL,NULL
0,72000,NULL,NULL
0,75600,NULL,NULL
0,79200,NULL,NULL
0,82800,NULL,NULL
0,86400,NULL,NULL
0,90000,NULL,NULL
0,93600,NULL,NULL
0,97200,NULL,NULL
0,100800,NULL,NULL
0,104400,NULL,NULL
0,108000,NULL,NULL
0,111600,NULL,NULL
0,115200,sdh,1800
0,118800,dbt,3600
0,122400,dbt,900
0,122400,dnc,1800
0,126000,dnc,3600
0,129600,dnc,3600
0,133200,dnc,900
0,136800,NULL,NULL
0,140400,irf,3300
0,144000,irf,900
0,147600,NULL,NULL
0,151200,NULL,NULL
0,154800,NULL,NULL
0,158400,NULL,NULL
0,162000,NULL,NULL
0,165600,NULL,NULL
0,169200,NULL,NULL
0,172800,NULL,NULL
0,176400,NULL,NULL
0,180000,NULL,NULL
0,183600,NULL,NULL
0,187200,NULL,NULL
0,190800,NULL,NULL
0,194400,NULL,NULL
0,198000,NULL,NULL
0,201600,NULL,NULL
0,205200,NULL,NULL
0,208800,NULL,NULL
0,212400,NULL,NULL
0,216000,NULL,NULL
0,219600,NULL,NULL
0,223200,NULL,NULL
0,226800,NULL,NULL
0,230400,NULL,NULL
0,234000,NULL,NULL
0,237600,NULL,NULL
0,241200,NULL,NULL
0,244800,NULL,NULL
0,248400,NULL,NULL
0,252000,NULL,NULL
0,255600,NULL,NULL
0,259200,NULL,NULL
0,262800,NULL,NULL
0,266400,NULL,NULL
0,270000,NULL,NULL
0,273600,NULL,NULL
0,277200,NULL,NULL
0,280800,NULL,NULL
0,284400,NULL,NULL
0,288000,NULL,NULL
0,291600,NULL,NULL
0,295200,NULL,NULL
0,298800,NULL,NULL
0,302400,NULL,NULL
0,306000,NULL,NULL
0,309600,NULL,NULL
0,313200,NULL,NULL
0,316800,NULL,NULL
0,320400,NULL,NULL
0,324000,NULL,NULL
0,327600,NULL,NULL
0,331200,NULL,NULL
0,334800,NULL,NULL
0,338400,NULL,NULL
0,342000,NULL,NULL
0,345600,NULL,NULL
0,349200,NULL,NULL
0,352800,NULL,NULL
0,356400,NULL,NULL
0,360000,NULL,NULL
0,363600,NULL,NULL
0,367200,NULL,NULL
0,370800,NULL,NULL
0,374400,NULL,NULL
0,378000,NULL,NULL
0,381600,NULL,NULL
0,385200,NULL,NULL
0,388800,NULL,NULL
0,392400,NULL,NULL
0,396000,NULL,NULL
0,399600,NULL,NULL
0,403200,NULL,NULL
0,406800,NULL,NULL
0,410400,NULL,NULL
0,414000,NULL,NULL
0,417600,NULL,NULL
0,421200,NULL,NULL
0,424800,NULL,NULL
0,428400,NULL,NULL
1,0,NULL,NULL
1,3600,NULL,NULL
1,7200,NULL,NULL
1,10800,NULL,NULL
1,14400,NULL,NULL
1,18000,NULL,NULL
1,21600,NULL,NULL
1,25200,NULL,NULL
1,28800,NULL,NULL
1,32400,NULL,NULL
1,36000,ftz,3600
1,39600,ftz,3600
1,43200,ftz,0
1,43200,lib,1800
1,46800,lib,900
1,50400,NULL,NULL
1,54000,str,2400
1,57600,str,3600
1,61200,str,1800
1,64800,NULL,NULL
1,68400,uea,3600
1,72000,uea,3600
1,75600,uea,0
1,79200,NULL,NULL
1,82800,NULL,NULL
1,86400,NULL,NULL
1,90000,NULL,NULL
1,93600,NULL,NULL
1,97200,NULL,NULL
1,100800,NULL,NULL
1,104400,NULL,NULL
1,108000,NULL,NULL
1,111600,NULL,NULL
1,115200,NULL,NULL
1,118800,cmc,1800
1,122400,ftz,2700
1,126000,ftz,3600
1,129600,ftz,3600
1,133200,ftz,900
1,136800,NULL,NULL
1,140400,dnc,1800
1,144000,dnc,3600
1,147600,dnc,0
1,151200,NULL,NULL
1,154800,NULL,NULL
1,158400,NULL,NULL
1,162000,NULL,NULL
1,165600,NULL,NULL
1,169200,NULL,NULL
1,172800,NULL,NULL
1,176400,NULL,NULL
1,180000,NULL,NULL
1,183600,NULL,NULL
1,187200,NULL,NULL
1,190800,NULL,NULL
1,194400,NULL,NULL
1,198000,NULL,NULL
1,201600,NULL,NULL
